"Date","Open","High","Low","Close","Volume"
"10/2025","129.93","131.08","126.16","129.03","1,714,980"
"09/2025","119.51","131.3648","119.51","130.25","13,013,995"
"08/2025","110.24","121.17","109.64","121","13,034,065"
"07/2025","110.45","115.66","109.87","110.44","17,328,434"
"06/2025","107.29","111.38","104.085","111.3","11,085,482"
"05/2025","95.16","108.38","95.04","107.35","12,450,041"
"04/2025","95.33","97.975","85.4","95.48","20,528,112"
"03/2025","103.52","103.98","93.41","95.51","12,396,613"
"02/2025","95.4","106","92.99","102.82","13,055,354"
"01/2025","97.22","101.545","95.9","99.04","11,153,498"
"12/2024","94.98","104.63","90.47","97.05","15,137,971"
"11/2024","91.8","95.87","89.66","95.25","13,871,069"
"10/2024","90.32","94.32","89.19","91.12","26,649,001"
"09/2024","82.81","91.61","81.69","90.2","16,853,540"
"08/2024","84.65","89.17","76.98","83.62","25,056,477"
"07/2024","84.075","87.78","82.5","84.33","27,726,432"
"06/2024","88.55","89.51","83.07","83.85","13,476,896"
"05/2024","89.46","96.39","86.72","89.11","19,766,209"
"04/2024","97.63","98.99","89.23","89.32","19,868,495"
"03/2024","90.74","97.98","89.89","97.68","11,305,258"
"02/2024","94.2","96.04","88.55","90.5","15,512,013"
"01/2024","97.88","98.73","93.07","94.18","15,074,351"
"12/2023","81.48","100.12","81.19","98.94","14,183,806"
"11/2023","75.81","82.55","74.48","82.29","14,942,345"
"10/2023","83.95","83.999","73.98","75.55","19,712,006"
"09/2023","86.43","89.09","83.39","84.37","9,274,106"
"08/2023","92.04","92.25","81.55","86.09","12,540,532"
"07/2023","90.79","94.46","88.7","92.92","13,835,604"
"06/2023","83.74","91.9","82.94","91.24","9,206,119"
"05/2023","90.34","90.91","82.04","83.41","16,437,042"
"04/2023","89.95","92.5","87.87","90.19","9,606,253"
"03/2023","94.59","96.785","82.2501","89.11","15,740,966"
"02/2023","100.8","102.79","94.145","94.76","7,435,452"
"01/2023","90.75","101.53","90.455","100.64","12,901,453"
"12/2022","97.78","100.13","87.46","90.6","13,300,453"
"11/2022","93.37","101.2","89.42","97.83","13,345,779"
"10/2022","88.87","94.32","81.57","92.08","18,136,097"
"09/2022","91.72","99.94","87.28","87.64","16,298,927"
"08/2022","99.38","105.4","92.23","92.24","14,297,203"
"07/2022","95.8","99.92","90.44","98.84","12,570,362"
"06/2022","109.39","110.67","93.43","96.17","12,133,746"
"05/2022","105.85","109.69","98.87","108.89","16,039,161"
"04/2022","118.65","119.55","105.8","106.04","15,925,705"
"03/2022","115.36","122.77","109.8","117.97","20,088,306"
"02/2022","113.32","120.865","108.38","113.9","18,920,691"
"01/2022","108.04","120.13","108.04","113.18","18,612,438"
"12/2021","106.16","110.65","100.54","107.72","15,584,458"
"11/2021","108.8","112.56","103.94","104.07","11,159,238"
"10/2021","100","112.34","99.21","108.51","11,466,189"
"09/2021","100.06","102.63","96.4301","99.73","12,601,687"
"08/2021","99.38","104.85","97.791","99.52","17,374,793"
"07/2021","102.95","103.9","95.3678","98.12","15,434,500"
"06/2021","105.61","106.88","101.55","102.56","15,467,104"
"05/2021","94.59","105.54","93.19","105.02","18,038,760"
"04/2021","89.01","95.99","88.95","94.34","18,052,271"
"03/2021","82.8","90.66","82.3","89.12","20,560,683"
"02/2021","74.95","86.77","74.25","81.53","14,623,237"
"01/2021","76.24","80.4","74.05","74.31","10,518,595"
"12/2020","74","77.08","73.37","76.03","8,629,972"
"11/2020","60.11","75.55","59.36","72.72","11,737,142"
"10/2020","58.66","64.38","56.96","59.47","13,718,905"
"09/2020","63.03","63.27","57.215","58.41","10,176,931"
"08/2020","55","64.37","54.55","63.57","12,342,594"
"07/2020","53.35","56.42","51.81","54.84","13,565,197"
"06/2020","49.77","58.5","49.55","53.05","18,033,972"
"05/2020","49.91","52.23","43.26","49.31","19,247,851"
"04/2020","48.04","55.34","46.61","50.9","26,040,863"
"03/2020","68","69.79","38.31","50.26","32,485,844"
"02/2020","76.41","77.22","66.61","67.88","10,518,828"
"01/2020","77.5","79.93","76.08","76.22","12,156,042"
"12/2019","77","77.79","73.24","77.5","9,959,438"
"11/2019","74.26","77.09","74.05","76.95","11,990,064"
"10/2019","74.39","75.47","70.94","73.99","15,958,990"
"09/2019","68.29","74.19","67.17","73.75","9,784,717"
"08/2019","74.36","74.68","66.42","68.63","10,470,173"
"07/2019","76","77.44","74.31","74.81","11,737,825"
"06/2019","72.37","76.36","72.37","75.71","8,906,747"
"05/2019","78.84","79.28","71.97","72.61","9,567,212"
"04/2019","75.54","79.35","75.14","78.97","9,604,152"
"03/2019","78.16","78.64","74.48","74.82","11,227,689"
"02/2019","73.11","78.4","72.42","77.94","9,471,623"
"01/2019","64.77","74.39","64.53","73.19","11,008,910"
"12/2018","75.65","75.81","62.79","65.35","15,463,192"
"11/2018","75.31","76.34","72.53","74.5","13,291,888"
"10/2018","83.98","83.98","74.09","74.74","19,045,332"
"09/2018","81.44","84.36","80.58","82.53","9,608,101"
"08/2018","79.51","83.41","78.43","81.96","10,785,883"
"07/2018","76.76","80.16","76.33","79.28","6,056,213"
"06/2018","77.56","78.99","76.04","77.26","5,796,960"
"05/2018","75.76","80.03","75.13","77.4","6,680,878"
"04/2018","75.57","77.04","73.79","75.93","8,944,031"
"03/2018","76","77.41","73.79","75.57","9,043,058"
"02/2018","82.25","82.52","74.13","76.01","9,728,875"
"01/2018","80.05","84.71","79.9","82.31","7,859,499"
"12/2017","77.8","80.295","77.68","80.02","7,237,661"
"11/2017","76.84","78.47","76.32","77.01","6,053,421"
"10/2017","75.55","78.86","75.55","76.61","7,214,392"
"09/2017","72.26","76.11","71.72","75.71","8,874,538"
"08/2017","76.02","76.18","71.37","71.79","8,559,984"
"07/2017","73.65","77.57","73.05","75.87","7,098,318"
"06/2017","67.62","73.9708","66.76","73.44","11,165,317"
"05/2017","71.05","71.31","66.75","67.14","12,251,514"
"04/2017","74.43","75.2","70.37","70.85","8,462,859"
"03/2017","76.99","77.58","72.79","74.79","11,176,382"
"02/2017","75.61","78","74.59","75.63","7,914,744"
"01/2017","72.21","77.09","72.04","75.63","9,249,982"
"12/2016","66.31","73.88","65.86","71.92","10,775,976"
"11/2016","63.84","66.71","62.32","65.86","11,466,845"
"10/2016","65.38","65.69","62.7","63.6","12,959,895"
"09/2016","66.38","67.69","64.065","65.57","11,765,030"
"08/2016","64.05","67.67","62.55","66.3","12,496,013"
"07/2016","63.17","65.77","62.53","64.12","12,024,694"
"06/2016","62.56","66.29","60.9254","63.39","13,652,053"
"05/2016","65.3","65.41","61.85","62.91","12,297,894"
"04/2016","60.01","65.5","58.61","65.16","11,951,634"
"03/2016","55.47","61.72","55.39","60.69","13,962,577"
"02/2016","53.28","55.44","49.1689","55.02","16,816,542"
"01/2016","55.27","55.385","47.54","53.52","17,930,004"
"12/2015","58","59.98","55.41","56.42","16,015,675"
"11/2015","58.11","58.22","55.49","57.64","10,151,187"
"10/2015","55.09","59.51","53.88","58.09","14,487,702"
"09/2015","53.17","54.72","51.31","54.55","16,327,910"
"08/2015","55.77","56.76","48.17","53.93","24,259,182"
"07/2015","59.73","59.96","54.8","55.25","15,865,863"
"06/2015","61.05","61.8181","59.27","59.28","15,978,879"
"05/2015","65.09","65.6089","60.69","61.1","12,297,313"
"04/2015","60.01","67.01","59.26","65.3","16,913,735"
"03/2015","61.79","62.03","58.3","59.97","16,378,804"
"02/2015","58.04","64.13","57.89","61.96","17,128,628"
"01/2015","70.65","70.87","57.37","57.48","20,141,235"
"12/2014","73.31","73.74","66.93","70.73","18,381,682"
"11/2014","72.38","74.4","70.83","73.69","11,015,087"
"10/2014","73.52","74.83","67.42","72.6","12,346,783"
"09/2014","76.85","78.56","72.98","73.62","7,777,636"
"08/2014","74.37","77.08","71.6","76.96","7,891,703"
"07/2014","73.54","76.72","73.54","74.57","6,137,872"
"06/2014","70.01","73.92","69.68","73.59","6,941,524"
"05/2014","68.89","71.33","68.15","70.3","5,094,738"
"04/2014","67","69.59","66.6","68.94","7,038,705"
"03/2014","65.48","67.32","64.17","67.01","6,748,047"
"02/2014","61.56","66.49","60.34","65.97","7,377,817"
"01/2014","66.5","67.44","61.03","61.08","10,006,844"
"12/2013","69.33","69.77","64.25","66.66","8,597,219"
"11/2013","69.75","71.26","68.92","69.75","5,679,344"
"10/2013","66.82","70.91","65.82","69.7","6,944,332"
"09/2013","63.38","67.2","63.07","66.82","7,562,260"
"08/2013","62.29","63.71","60.69","62.83","8,790,544"
"07/2013","58.31","64.27","57.48","62.12","10,502,829"
"06/2013","59.26","59.85","55.61","57.96","10,213,628"
"05/2013","62.66","63.25","59.08","59.08","12,504,744"
"04/2013","62.84","63.6","60.25","62.71","11,124,308"
"03/2013","62.05","63.16","61.6622","62.95","8,243,835"
"02/2013","63.26","63.45","61.26","62.23","8,999,045"
"01/2013","62.29","64.79","61.86","63.22","9,329,462"
"12/2012","60.16","61.84","59.44","61.3","10,420,140"
"11/2012","59.3","60.26","56.62","60.03","7,433,630"
"10/2012","59.3","60.99","58.96","59.12","7,440,004"
"09/2012","58.56","60.6","56.4278","59.04","9,044,651"
"08/2012","57.57","59.5","56.29","58.5","7,620,418"
"07/2012","55.25","58.27","54.97","57.22","8,254,462"
