"Date","Open","High","Low","Close","Volume"
"10/2025","79.9","81.78","79.68","81.47","3,121,582"
"09/2025","76.5","82.09","76.095","79.89","22,530,389"
"08/2025","71.27","77.73","71","77.29","27,512,152"
"07/2025","70.68","74.63","70.68","71.44","29,309,711"
"06/2025","67.83","70.96","67.3","70.83","29,374,834"
"05/2025","62.75","69.88","62.671","67.94","19,782,204"
"04/2025","55.95","63.17","53.62","62.95","26,050,830"
"03/2025","60.92","61","54.46","56.3","27,775,032"
"02/2025","60.68","62.43","57.99","60.58","16,211,348"
"01/2025","63.17","64.88","61.31","63.02","21,866,155"
"12/2024","64.98","67.45","62.58","63.23","23,817,328"
"11/2024","62.9","65.89","62.67","64.76","13,798,143"
"10/2024","61.21","63.53","59.15","62.56","26,159,222"
"09/2024","58.05","62.67","57.42","61.34","29,081,494"
"08/2024","51.54","59.105","47.55","58.44","25,894,565"
"07/2024","47.8","52.03","47.11","51.69","26,631,595"
"06/2024","50.15","50.17","46.9903","47.54","23,411,448"
"05/2024","46.71","50.86","46.5","49.54","23,642,839"
"04/2024","50.53","50.7","46.69","46.69","29,401,112"
"03/2024","47.83","51.14","47.76","50.72","45,196,997"
"02/2024","45.16","47.72","43.86","47.32","42,601,712"
"01/2024","47.63","48.11","44.97","45.18","30,046,739"
"12/2023","41.27","48.915","41.09","48.14","37,396,012"
"11/2023","35.35","41.41","35.09","41.3","28,993,295"
"10/2023","38.4","38.59","34.35","35.27","34,148,785"
"09/2023","39.85","41.39","38.24","38.61","32,409,897"
"08/2023","43.76","43.76","39.11","39.61","27,008,332"
"07/2023","42.66","44.4","41.58","44.07","21,182,974"
"06/2023","41.23","44.435","40.77","42.68","31,044,600"
"05/2023","41.96","42.52","39.63","41.21","23,492,536"
"04/2023","42.67","43.94","40.655","41.95","16,943,371"
"03/2023","45.68","46.72","39.97","42.42","39,346,675"
"02/2023","45.6","46.925","44.56","45.73","19,043,483"
"01/2023","40.56","45.675","40.22","45.62","16,845,362"
"12/2022","47.38","47.38","39.4","40.45","27,520,647"
"11/2022","46","48.845","43.93","48.17","14,990,375"
"10/2022","44.45","46.6","39.72","45.41","22,803,797"
"09/2022","47.06","49.95","43.17","43.76","27,205,258"
"08/2022","50.41","53.36","47.295","47.31","14,732,775"
"07/2022","48.38","50.99","45.09","50.59","14,636,639"
"06/2022","55.56","56.68","47.45","48.54","22,873,931"
"05/2022","55.225","56.35","51.14","55.02","18,591,472"
"04/2022","61.225","61.41","54.8","55.275","19,620,714"
"03/2022","62.985","65.805","59.98","60.845","28,785,096"
"02/2022","62.995","65.89","59.5125","63.205","18,416,296"
"01/2022","58.295","66.24","58.295","62.76","20,115,360"
"12/2021","57.04","58.845","51.485","58.28","22,307,910"
"11/2021","61.04","61.565","55.44","55.735","22,622,224"
"10/2021","55.885","61.355","55.465","60.63","16,667,182"
"09/2021","57.555","58.56","54.905","55.65","19,917,354"
"08/2021","58.3","60.555","56.455","57.505","16,245,088"
"07/2021","57.075","58.73","54.86","58.12","11,813,688"
"06/2021","59.06","60.325","56.575","56.93","31,694,988"
"05/2021","52.315","59.115","51.915","58.935","19,609,808"
"04/2021","48.785","52.13","48.785","51.98","20,580,338"
"03/2021","46.865","51.1","46.218","48.935","36,599,620"
"02/2021","43.01","47.795","42.435","46.085","15,138,722"
"01/2021","42.89","45.21","41.965","42.59","13,910,134"
"12/2020","42.575","44.075","42.37","42.735","14,036,100"
"11/2020","37.6","43.1","37.31","42.1","12,435,206"
"10/2020","37.485","39.0475","36.035","37.31","11,904,320"
"09/2020","39.52","40.24","36.875","37.36","20,172,036"
"08/2020","34.635","40.085","34.555","39.675","13,386,962"
"07/2020","33.69","35.185","33","34.675","14,758,842"
"06/2020","32.175","37.285","32.17","33.485","28,742,770"
"05/2020","29.14","33.41","27.47","31.965","25,405,936"
"04/2020","27.73","31.375","26.99","29.705","34,641,060"
"03/2020","37.99","39.105","23.225","28.985","50,414,072"
"02/2020","40.765","41.875","37.505","38.035","17,589,598"
"01/2020","41.72","41.795","40.61","40.735","15,537,710"
"12/2019","43.45","43.53","41.0155","41.6","21,149,894"
"11/2019","42.72","43.81","42.65","43.45","18,186,762"
"10/2019","41.35","43.1625","39.645","42.63","19,240,860"
"09/2019","38.325","42.15","38.09","41.28","29,804,666"
"08/2019","39.225","39.3125","36.6","38.71","21,784,378"
"07/2019","39.525","39.975","38.79","39.335","12,724,496"
"06/2019","37.985","40.005","37.92","39.28","19,817,634"
"05/2019","42.115","42.319","37.175","37.89","18,042,586"
"04/2019","39.96","42.165","39.86","42.11","15,152,318"
"03/2019","42.46","43.005","39.51","39.535","17,250,146"
"02/2019","42.39","43.6975","41.395","42.42","12,925,526"
"01/2019","36.9","42.425","36.9","42.395","15,007,320"
"12/2018","42.56","42.775","36.48","37.27","21,021,190"
"11/2018","43.49","44.125","41.5442","41.94","13,301,804"
"10/2018","47.56","47.615","42.44","43.16","22,462,804"
"09/2018","46.475","48.49","46.09","46.885","15,984,486"
"08/2018","45.725","47.6808","45.25","46.84","17,327,454"
"07/2018","43.285","45.75","42.975","45.615","10,691,234"
"06/2018","43.85","44.67","42.735","43.46","10,854,304"
"05/2018","43.47","45.91","43.12","43.655","12,280,948"
"04/2018","44.14","44.6195","42.775","43.525","12,979,758"
"03/2018","45.71","46.23","43.465","44.14","21,679,364"
"02/2018","49.345","49.405","44.56","45.625","17,350,578"
"01/2018","48.835","50.005","48.595","49.51","14,081,736"
"12/2017","46.325","48.875","46.19","48.705","18,414,444"
"11/2017","44.135","46.025","43.805","45.88","16,660,420"
"10/2017","43.715","45.36","43.605","44.025","21,105,590"
"09/2017","42.305","44.655","41.935","43.76","20,622,774"
"08/2017","43.56","43.6","41.51","41.98","18,649,282"
"07/2017","40.61","43.65","40.555","43.42","26,893,194"
"06/2017","39.19","41.14","38.69","40.58","75,171,720"
"05/2017","40.59","40.665","38.6","39.035","64,643,258"
"04/2017","43.01","43.5195","39.8425","40.415","34,466,370"
"03/2017","44.5","44.825","42.36","43.105","37,979,516"
"02/2017","42.705","46.11","42.3625","44","15,687,520"
"01/2017","40.92","43.215","40.92","42.6","16,425,394"
"12/2016","39.835","42.83","39.835","40.8","41,101,628"
"11/2016","37.52","39.675","36.31","39.335","24,254,134"
"10/2016","38.63","38.87","37.34","37.48","18,682,148"
"09/2016","39.515","40.55","37.71","38.765","18,619,962"
"08/2016","37.935","40.425","37.195","39.64","17,322,734"
"07/2016","37.39","38.56","36.645","37.975","30,377,170"
"06/2016","38.7","41.3","37.03","37.535","25,239,016"
"05/2016","40.595","40.595","37.84","38.81","10,962,050"
"04/2016","36.68","40.87","36.01","40.385","9,950,408"
"03/2016","33.465","38.275","33.465","37.355","15,070,502"
"02/2016","32.245","33.605","29.52","33.145","16,676,352"
"01/2016","32.52","32.975","28.145","32.425","15,019,226"
"12/2015","37.65","38.045","32.92","32.935","17,194,798"
"11/2015","38.395","38.415","36.335","37.6","7,894,584"
"10/2015","36.33","39.115","35.665","38.275","10,729,182"
"09/2015","36.06","36.69","34.25","35.98","13,158,222"
"08/2015","35.62","36.815","31.21","36.68","17,580,944"
"07/2015","36.99","37.255","34.215","35.715","15,986,436"
"06/2015","38.09","38.705","36.845","36.86","16,206,910"
"05/2015","40.1","40.205","37.69","38.17","10,024,128"
"04/2015","36.295","40.8","36.05","40.14","12,332,690"
"03/2015","38.485","38.61","35.465","36.25","15,110,476"
