"Date","Open","High","Low","Close","Volume"
"10/2025","147.16","148","145.79","146.96","2,112,304"
"09/2025","143.81","149.26","143.2","147.32","17,663,260"
"08/2025","127.92","147.64","127.38","145.36","23,968,779"
"07/2025","131.36","134.255","128.14","128.46","27,325,110"
"06/2025","126.27","131.69","126.02","131.55","17,803,559"
"05/2025","119.82","129.46","119.5","126.66","27,520,696"
"04/2025","112.23","120.11","106.1","119.88","36,190,421"
"03/2025","118","119.46","108.76","112.72","22,039,614"
"02/2025","117.4","121.43","113.73","118.17","23,691,326"
"01/2025","120.1","124.35","117.625","121.93","26,056,231"
"12/2024","125.49","128.05","118.73","120.51","16,628,721"
"11/2024","121.7","125.82","120.255","125.67","23,441,412"
"10/2024","124.86","126.955","120.4","120.89","29,932,814"
"09/2024","120.17","125.11","119.94","124.73","13,223,818"
"08/2024","111.64","121.12","102.89","120.78","23,259,099"
"07/2024","106.83","112.67","105.925","111.74","26,544,685"
"06/2024","109.5","109.51","102.44","106.38","13,866,360"
"05/2024","96.98","109.47","96.52","109.27","20,697,682"
"04/2024","100.88","103.88","95.838","96.83","27,225,852"
"03/2024","97.16","101.5","96.56","100.88","21,494,596"
"02/2024","97.61","99.055","93.97","97.08","21,912,796"
"01/2024","100.05","101.4","96.69","97.61","30,466,690"
"12/2023","90.27","102.07","89.85","101.13","20,769,331"
"11/2023","79.97","90.54","79.14","90.4","22,304,033"
"10/2023","87.14","87.26","77.9","79.88","34,151,919"
"09/2023","90.3","92.1","86.64","87.44","17,090,385"
"08/2023","98.42","98.49","88.135","90.1","21,061,344"
"07/2023","95.68","100.83","93.66","99.13","22,836,318"
"06/2023","89.65","96.11","89.25","95.51","12,222,637"
"05/2023","99.52","100.01","88.03","89.48","17,764,875"
"04/2023","96.75","100.56","96","99.31","18,729,095"
"03/2023","100.35","101.24","90.99","95.58","21,585,639"
"02/2023","102.16","104.72","98.95","101.48","12,323,592"
"01/2023","94.01","102.43","93.3","102.36","20,009,132"
"12/2022","100.1","100.96","92.36","94.02","23,036,085"
"11/2022","93.35","101.43","90.32","99.78","13,388,872"
"10/2022","91.25","95.51","83.63","92.47","20,106,548"
"09/2022","92.33","99.77","89.18","90.04","14,992,918"
"08/2022","97.16","100.98","93.04","93.04","15,013,189"
"07/2022","96.42","99.15","90.75","97.51","21,279,155"
"06/2022","105","106.43","94.23","96.82","19,135,210"
"05/2022","100.86","105","95.0159","104.48","22,008,664"
"04/2022","110.64","112.67","100.44","101.03","19,753,932"
"03/2022","110.21","114.55","104.28","110.27","24,743,784"
"02/2022","114.23","116.84","105.4618","110.42","28,563,021"
"01/2022","106.41","119.41","106.41","114.04","38,309,641"
"12/2021","100.5","106.39","98","106.14","30,960,010"
"11/2021","104.56","107.01","98.76","99.03","27,338,249"
"10/2021","99.49","108.09","98.55","104.01","19,781,720"
"09/2021","103.14","103.61","96.8548","99.48","20,557,880"
"08/2021","101.48","106.4","99.73","102.76","21,594,693"
"07/2021","101.84","103.39","98.03","101.14","22,247,710"
"06/2021","104.31","104.92","100.83","101.31","21,716,821"
"05/2021","95.88","104.85","95.11","103.99","23,735,797"
"04/2021","92.17","96.5","91.14","95.4","23,314,105"
"03/2021","86.31","94.37","85.84","92.21","33,121,722"
"02/2021","81.32","90.59","80.85","85.09","25,358,858"
"01/2021","82.62","86.14","80.53","80.87","22,961,285"
"12/2020","83.18","84","79.82","82.06","11,733,255"
"11/2020","70.49","83.54","69.82","81.98","13,500,096"
"10/2020","70.58","74.91","67.78","69.99","21,648,848"
"09/2020","75.86","76.43","69.47","70.14","12,866,635"
"08/2020","69.26","78.31","68.77","76.12","12,340,926"
"07/2020","68.18","71.57","66.7","69.14","23,170,162"
"06/2020","65.17","74.13","65.14","67.8","24,836,698"
"05/2020","60.43","67.34","57.11","64.85","27,758,281"
"04/2020","59.11","64.25","57.41","61.59","30,147,352"
"03/2020","74.41","77.53","49.55","61.55","56,754,411"
"02/2020","79.19","82.74","73.33","74.47","21,304,088"
"01/2020","79.34","82.08","78.865","78.96","21,634,537"
"12/2019","81.89","81.89","78.3","79.2","19,615,245"
"11/2019","80.88","82.55","80.69","81.75","14,523,954"
"10/2019","81.37","82.58","77.97","80.66","26,333,452"
"09/2019","74.58","81.61","73.76","81.16","19,793,602"
"08/2019","78.7","78.94","73.195","74.76","20,577,690"
"07/2019","79.8","81","78.33","78.91","19,468,466"
"06/2019","75.2","80.1","75.02","79.4","14,780,514"
"05/2019","79.73","79.82","74.89","75.15","18,283,569"
"04/2019","76.13","80.39","75.76","79.69","15,990,251"
"03/2019","78.32","78.66","75.47","75.55","20,641,764"
"02/2019","76.47","78.505","75.2","78.18","14,351,498"
"01/2019","67.8","76.37","67.75","76.18","19,868,709"
"12/2018","74.53","74.68","65.76","68.52","15,241,667"
"11/2018","73.49","74.38","69.99","73.26","15,239,125"
"10/2018","81.5","81.56","71.01","72.84","18,842,598"
"09/2018","78.71","81.22","78.18","80.19","12,482,529"
"08/2018","77.92","81.06","76.79","79.52","14,510,031"
"07/2018","74.93","78.26","74.37","77.97","13,163,267"
"06/2018","76.08","77.27","73.92","75.3","13,927,925"
"05/2018","75.95","79.8","74.02","75.59","14,430,060"
"04/2018","77.29","78.27","74.75","76.05","14,872,731"
"03/2018","78.87","79.84","76.08","77.29","16,547,577"
"02/2018","85.3","85.39","77.44","78.89","19,061,382"
"01/2018","81.81","87.1","81.58","85.67","15,581,574"
"12/2017","79.02","81.81","78.89","81.65","15,877,625"
"11/2017","78.35","79.97","77.67","78.3","14,375,545"
"10/2017","77.38","80.98","77.349","78.15","18,144,798"
"09/2017","74.52","77.78","73.1","77.35","15,739,032"
"08/2017","74.91","75.27","72.6146","74.06","20,787,521"
"07/2017","72.8","75.86","72.18","74.56","19,394,168"
"06/2017","69.43","73.71","68.56","72.52","24,984,902"
"05/2017","68.64","70.75","66.66","69.1","24,496,485"
"04/2017","72.64","73.27","68.185","68.48","22,337,046"
"03/2017","73.41","74.24","70.36","72.91","25,556,388"
"02/2017","71.89","76.01","71.37","72.67","20,050,078"
"01/2017","67.92","72.25","67.85","71.87","19,817,041"
"12/2016","65.26","69.7","64.92","67.71","17,618,776"
"11/2016","62.57","67.11","60.92","64.82","21,086,217"
"10/2016","61.96","64.31","61.152","62.48","15,384,134"
"09/2016","62.05","63.57","60.5","61.96","18,170,476"
"08/2016","60.87","64.13","59.88","62.12","20,790,040"
"07/2016","59.04","62.26","58.2101","60.96","20,848,452"
"06/2016","59.76","63.43","57.01","59.2","26,526,233"
"05/2016","62.31","62.39","58.02","60.21","22,698,840"
"04/2016","56.87","62.775","55.68","62.12","25,640,558"
"03/2016","51.79","58.81","51.18","57.56","29,652,130"
"02/2016","51.12","52.62","46.08","50.97","32,103,884"
"01/2016","52.7","52.8","44.37","51.24","35,206,975"
"12/2015","57.1","58","52.28","53.58","25,220,439"
"11/2015","57.06","58.45","55.24","56.85","28,312,885"
"10/2015","55.78","58.2","53.48","56.83","47,047,128"
"09/2015","54.68","56.89","52.84","55.25","31,397,606"
"08/2015","58.22","59.61","51.27","55.56","40,189,390"
"07/2015","61.5","61.84","56.115","58.35","36,557,687"
"06/2015","63.55","64.57","61.13","61.15","39,272,424"
"05/2015","66.3","66.72","63.03","63.63","23,849,464"
"04/2015","60.47","67.49","59.91","66.48","32,270,330"
"03/2015","62.68","62.78","58.41","60.36","27,262,072"
"02/2015","57.32","63.27","57.14","62.62","34,840,482"
"01/2015","68.84","69.15","56.4","56.59","36,934,522"
"12/2014","73.17","73.62","65.88","69.07","18,375,007"
"11/2014","70.92","74.09","69.945","73.15","9,410,910"
"10/2014","71.63","73.17","66.42","71.17","17,993,240"
"09/2014","74.37","76.08","70.7408","71.45","11,028,826"
"08/2014","73.66","75.08","71.72","74.27","10,606,153"
"07/2014","71.51","74.64","71.51","73.81","7,956,457"
"06/2014","68.9","71.84","67.88","71.43","8,514,507"
"05/2014","66.62","70.01","66.31","68.82","7,115,145"
"04/2014","66.15","67.41","65.33","66.8","7,561,284"
"03/2014","64.32","66.27","63.48","65.99","8,473,336"
"02/2014","62.19","65.89","61","65.04","9,727,640"
"01/2014","67.1","67.36","61.24","61.88","11,224,557"
"12/2013","65.99","67.47","63.43","67.23","12,503,791"
"11/2013","67.22","68.89","66.302","66.52","9,184,321"
"10/2013","64.2","68.02","63.75","67.18","10,372,497"
"09/2013","62.08","65.08","61.81","64.21","7,229,819"
"08/2013","62.63","62.82","60.6514","61.75","12,153,277"
"07/2013","58.57","63.88","56.95","62.31","17,390,784"
"06/2013","59.81","60.15","55.49","58.31","15,565,191"
"05/2013","60.3","62.5","58.79","59.41","12,799,502"
"04/2013","60.22","61.5","57.71","60.4","15,752,641"
"03/2013","61.91","62.45","59.09","60.3","11,620,225"
"02/2013","62.54","64.08","60.94","62.11","9,823,861"
"01/2013","61.5","62.62","60.995","62.33","9,177,163"
"12/2012","59.35","61.5399","58.7","60.3","11,577,927"
"11/2012","57.09","59.37","54.41","58.88","11,261,977"
"10/2012","57.89","59.83","56.81","57.03","9,664,908"
"09/2012","56.16","58.44","54.879","57.41","9,801,929"
"08/2012","51.59","56.57","50.16","56.01","11,594,260"
"07/2012","51.4","53.2","49.19","51.13","10,215,852"
"06/2012","48.83","52.25","46.8","51.22","17,260,269"
"05/2012","57.61","57.96","48.74","49.75","19,915,267"
"04/2012","57.67","59.24","55.45","57.81","14,960,989"
"03/2012","56.84","59.6","55.3","58.05","18,638,565"
"02/2012","52.85","56.65","52.47","56.22","17,134,942"
"01/2012","51.77","54.48","50.1","52.37","16,815,369"
"12/2011","46.29","51.16","45.29","50.96","24,130,584"
"11/2011","46.93","47.25","41.4","45.99","21,926,526"
"10/2011","45.38","50.65","42.27","48.92","21,802,521"
"09/2011","51.47","51.63","43.05","45.72","21,953,215"
"08/2011","54.78","54.78","48.35","51.1","33,102,758"
"07/2011","57","58.05","53.34","53.73","11,655,332"
"06/2011","58.57","58.57","54.16","57.03","15,116,101"
"05/2011","62.85","63.53","58.31","58.58","14,283,291"
"04/2011","62.35","63.59","61.09","62.96","9,328,410"
"03/2011","58.46","63.53","57.79","61.97","20,524,282"
"02/2011","53.99","58.69","53.97","58.57","13,855,593"
"01/2011","52.71","54.89","51.61","53.7","13,639,165"
"12/2010","54.58","55.9799","49.98","52.36","15,060,514"
"11/2010","53.67","55.45","51.3","53.59","12,298,289"
"10/2010","52.46","55.87","52","53.38","17,048,628"
"09/2010","48.66","53.57","48.66","52.13","17,227,890"
"08/2010","52.95","53.34","46.04","47.81","16,560,433"
"07/2010","47.7","53.39","46.68","52.27","24,216,308"
"06/2010","51.91","54.88","47.7","47.79","32,003,098"
"05/2010","61.09","62.04","52.46","52.63","38,117,228"
"04/2010","58.71","62.33","57.53","60.52","17,187,502"
"03/2010","54.3","59.29","54.3","58.35","17,737,874"
"02/2010","49.42","55.01","48.44","54.05","14,103,601"
"01/2010","54.1","54.88","48.69","49.06","16,059,680"
"12/2009","54.95","55.48","50.96","53.55","17,286,808"
"11/2009","50.84","55.58","49.75","54.19","19,477,022"
"10/2009","53.64","55.08","49.04","50.4","21,544,260"
"09/2009","50.7","54.82","49.08","53.57","27,264,423"
"08/2009","47.64","52.7","44.51","51.47","28,560,375"
"07/2009","41.37","47.81","38.01","47.47","24,120,151"
"06/2009","40.92","42.43","37.7","40.85","28,594,511"
"05/2009","35.35","40.99","34.98","40.22","31,461,450"
"04/2009","28.62","36.23","27.96","35.34","46,199,630"
"03/2009","23.52","31","22.02","28.92","63,465,006"
"02/2009","24.02","26.42","20.51","24.27","51,471,897"
"01/2009","29.55","32.3","22.73","24.58","26,303,546"
"12/2008","33.08","33.52","26.49","29.66","35,304,661"
"11/2008","39.63","41.85","25.89","32.54","31,771,165"
"10/2008","46.22","48.99","32.96","38.73","33,874,166"
"09/2008","46.03","51.83","40.9","48.02","26,494,901"
"08/2008","46.09","46.48","41.77","45.68","15,410,620"
"07/2008","44.3","46.61","39.62","46.07","30,567,789"
"06/2008","50.71","51.06","44.19","44.67","15,200,536"
"05/2008","47.32","51.49","46.99","51.21","12,544,323"
"04/2008","47.23","48.87","44.5","47.83","15,558,801"
"03/2008","50.13","50.21","43.06","46.5","30,278,725"
"02/2008","50.79","51.99","49","50.1","23,033,621"
