"Date","Open","High","Low","Close","Volume"
"10/2025","64.73","65.52","64.275","65.25","5,191,607"
"09/2025","61.94","65.19","61.69","64.65","37,132,252"
"08/2025","55.38","62.685","55.21","62.46","36,040,629"
"07/2025","55.27","56.975","54.29","55.61","48,427,339"
"06/2025","53.39","55.4","53.18","55.27","43,958,178"
"05/2025","49.95","53.925","49.56","53.52","33,627,592"
"04/2025","46.6","50.09","44.09","49.98","51,808,022"
"03/2025","49.91","50.3861","46.59","47.43","43,232,902"
"02/2025","49.19","51.6","47.29","49.63","30,660,012"
"01/2025","53.74","54.25","50.32","51.17","42,424,151"
"12/2024","57","57.07","52.76","53.72","20,329,651"
"11/2024","51.71","57.0474","51.45","57.02","23,564,426"
"10/2024","54.49","54.725","51.3359","51.49","34,583,308"
"09/2024","49.62","55.12","49.33","54.49","38,910,729"
"08/2024","46.7","50.04","43.675","49.88","34,120,419"
"07/2024","45.91","48.01","45.095","46.67","38,537,265"
"06/2024","47.33","47.62","45.09","45.72","31,761,482"
"05/2024","45.98","48.76","45.81","47.33","33,636,914"
"04/2024","51","51.02","45.6369","45.9","46,242,618"
"03/2024","48.7","51.98","48.445","51.78","37,844,637"
"02/2024","46.82","49.3","45.72","48.47","43,108,901"
"01/2024","47.5","48.15","45.105","46.75","45,297,344"
"12/2023","44.76","48.9","43.83","48.69","41,876,137"
"11/2023","40.61","44.9","40.205","44.77","32,706,246"
"10/2023","44.67","44.92","39.795","40.47","44,842,691"
"09/2023","47.75","48.73","45.42","45.59","30,313,476"
"08/2023","49.95","49.975","45.25","47.44","27,839,299"
"07/2023","49.27","51.355","47.31","50.36","29,038,933"
"06/2023","48.58","50.71","47.86","49.69","25,988,274"
"05/2023","49.89","50.79","47.85","48.31","26,544,466"
"04/2023","49.62","51.8","48.57","49.91","22,976,362"
"03/2023","49.4","52.11","46.36","50.36","45,665,598"
"02/2023","54.13","55.91","49.36","49.48","25,791,275"
"01/2023","48.29","54.14","47.62","54.13","26,590,887"
"12/2022","52.36","52.44","46.86","48.98","37,497,367"
"11/2022","49.01","53.495","46.88","52.2","37,169,906"
"10/2022","47.49","49.88","45.26","48.32","57,479,548"
"09/2022","54.91","57.25","47.525","47.57","42,222,350"
"08/2022","60.69","63.75","55.29","55.29","25,002,339"
"07/2022","57.93","61.23","54.23","60.95","27,975,104"
"06/2022","68.17","68.59","57.42","58.79","35,019,577"
"05/2022","63.35","67.91","60.91","67.71","34,504,585"
"04/2022","72.22","72.29","63.25","63.32","34,867,714"
"03/2022","72.48","74.82","69.93","71.72","41,482,910"
"02/2022","72.17","74.86","68.22","72.34","32,349,909"
"01/2022","70.73","74.24","68.74","71.96","42,262,828"
"12/2021","63.55","71.965","63.36","71.69","39,249,200"
"11/2021","66.18","67.12","62.11","62.43","20,571,061"
"10/2021","61.57","67.26","61.04","65.56","22,408,135"
"09/2021","62.26","62.765","59.05","61.53","23,824,586"
"08/2021","62.55","64.95","61.49","61.91","22,120,888"
"07/2021","65.39","65.69","59.97","62.44","27,205,463"
"06/2021","67.92","68.02","63.68","65.58","31,550,309"
"05/2021","63.89","67.465","63.27","67.3","29,291,876"
"04/2021","62.67","64.12","60.505","63.69","29,108,215"
"03/2021","59.37","64.38","58.87","62.55","34,801,402"
"02/2021","53.57","61.35","53.31","58.29","22,968,240"
"01/2021","53.61","56.02","52.75","53.29","27,085,238"
"12/2020","49.78","54.49","49.64","54.04","23,179,252"
"11/2020","42","50.34","41.52","48.76","24,821,190"
"10/2020","41.79","43.64","40.28","41.56","29,220,263"
"09/2020","43.09","43.25","40.155","41.51","25,327,558"
"08/2020","41.18","44.49","40.9182","43.22","19,674,547"
"07/2020","41.35","42.49","39.56","41.17","25,914,652"
"06/2020","40.27","46.16","39.64","41.24","34,624,548"
"05/2020","39.11","42.53","34.73","40.02","33,645,027"
"04/2020","39.04","41.73","36.76","40.14","37,864,230"
"03/2020","52.24","53.34","31.9382","40.6","63,013,723"
"02/2020","54.73","56.59","51.22","52.35","17,564,058"
"01/2020","56.6","56.78","54.37","54.62","15,991,430"
"12/2019","56.27","57.09","55.315","56.49","15,394,779"
"11/2019","57.49","58.22","56.1","56.12","15,675,524"
"10/2019","56.77","57.87","54.82","57.33","17,696,493"
"09/2019","52.68","57.72","52.46","56.85","21,849,789"
"08/2019","53.28","53.75","50.36","53.21","18,283,533"
"07/2019","54.19","54.58","52.69","53.38","14,023,771"
"06/2019","50.86","54.59","50.8","53.8","14,473,547"
"05/2019","55.08","55.33","50.57","50.7","13,879,878"
"04/2019","53.08","55.16","52.86","55.06","12,889,651"
"03/2019","55.65","55.73","52.49","53.28","21,873,397"
"02/2019","56.99","57.62","54.9","55.56","15,135,792"
"01/2019","49.51","57","49.3785","56.94","14,874,847"
"12/2018","55.38","55.51","48.34","49.87","21,262,006"
"11/2018","54.15","54.93","52.09","54.38","19,395,060"
"10/2018","60.26","60.28","52.63","53.71","19,538,861"
"09/2018","57.19","60.52","56.561","59.63","13,307,074"
"08/2018","59.29","60.6","57.76","57.9","15,411,092"
"07/2018","56.5","59.33","55.8472","59.25","14,585,160"
"06/2018","59.29","59.87","55.8472","56.17","19,386,863"
"05/2018","61.39","63.27","58.875","60.33","14,484,955"
"04/2018","60.98","62.09","59.52","61.46","12,615,230"
"03/2018","62.01","63.53","60.2","61.7","16,981,911"
"02/2018","66.28","66.28","59.65","61.96","17,353,408"
"01/2018","64.58","66.78","64.46","66.49","13,778,068"
"12/2017","64.12","65.14","63.7","64.53","10,341,381"
"11/2017","64.82","66.78","63.22","63.25","11,039,060"
"10/2017","63.79","65.07","63.65","64.52","13,937,421"
"09/2017","62.6","64.93","61.76","64.25","12,264,857"
"08/2017","62.46","62.46","60.11","62.14","11,144,842"
"07/2017","60.18","63.07","59.56","62.31","10,706,741"
"06/2017","56.78","61.2","56.23","60.13","18,065,178"
"05/2017","55.78","57.09","53.86","56.49","19,605,528"
"04/2017","58.47","58.97","54.59","55.63","18,388,802"
"03/2017","58.56","60.07","56.37","58.57","21,319,027"
"02/2017","59.77","62.89","58.11","58.19","12,306,826"
"01/2017","56.1","60.19","55.84","59.78","12,095,330"
"12/2016","55.51","58.97","55.4","55.68","13,160,631"
"11/2016","54.25","55.52","51.21","55.25","18,823,092"
"10/2016","53.04","54.57","51.97","53.76","11,272,591"
"09/2016","53.14","55.14","51.86","52.99","15,060,790"
"08/2016","50.63","54.08","49.82","53.22","15,079,777"
"07/2016","49.02","51.05","47.91","50.77","12,248,594"
"06/2016","48.69","53.165","47.59","49.01","25,414,159"
"05/2016","52.53","52.89","47.29","48.93","20,056,327"
"04/2016","47.47","52.755","46.35","52.45","14,993,981"
"03/2016","41.52","49.63","41.43","48.86","24,431,876"
"02/2016","40.56","41.73","36.88","40","26,874,434"
"01/2016","39.82","40.9","35.01","40.84","25,802,363"
"12/2015","45.29","45.86","39.84","40.44","19,664,267"
"11/2015","47.06","47.55","44.09","45.55","14,663,435"
"10/2015","44.48","47.945","42.78","46.98","15,935,769"
"09/2015","45","45.56","42.48","44.08","19,859,531"
"08/2015","48.73","48.98","39.55","45.64","23,736,769"
"07/2015","51.74","52.1","46.53","49.11","18,300,517"
"06/2015","52.8","54.35","51.58","51.63","15,988,908"
"05/2015","54.88","55.65","51.06","52.67","13,079,735"
"04/2015","50.33","56.26","49.71","55.17","17,650,441"
"03/2015","53.4","53.48","48.66","50.23","19,024,458"
"02/2015","48.62","54.7","48.55","53.45","16,198,186"
"01/2015","56.36","56.58","47.62","48.04","19,192,495"
"12/2014","61.9","62.33","54.2","57.08","17,814,696"
"11/2014","61.25","62.71","58.38","62.04","13,467,758"
"10/2014","61.91","62.44","56.52","61.3","17,336,857"
"09/2014","66","66.87","61.23","61.85","9,809,895"
"08/2014","67.82","67.9","64.94","66.22","8,131,729"
"07/2014","66.93","68.71","66.72","67.9","6,408,869"
"06/2014","63.92","67.41","63.63","67.08","6,375,722"
"05/2014","60.71","64.42","60.45","64.2","5,442,856"
"04/2014","58.14","60.95","58.06","60.78","5,178,500"
"03/2014","56.6","58.98","56.37","58.02","7,953,008"
"02/2014","55.1","58.14","53.94","57.23","8,654,612"
"01/2014","62.55","62.75","54.03","54.84","10,977,798"
"12/2013","61.25","62.67","58.73","62.55","9,018,673"
"11/2013","60.99","63.5","60.13","61.57","8,282,539"
"10/2013","57.29","61.42","56.53","60.77","8,455,197"
"09/2013","55.89","58.6","55.45","57.31","7,572,742"
"08/2013","56.59","56.75","54.67","55.5","9,596,066"
"07/2013","53.75","57.48","52.05","56.4","15,457,347"
"06/2013","57.06","57.35","52.23","53.55","12,510,789"
"05/2013","57.69","59.38","0","56.73","11,109,793"
"04/2013","58.11","58.33","54.87","57.64","10,075,967"
"03/2013","59.41","60.23","57.3","58.27","10,910,698"
"02/2013","58.93","59.6","58","59.44","6,086,951"
"01/2013","59.04","59.18","57.73","58.87","9,044,674"
"12/2012","56.23","59.18","55.55","57.88","9,038,454"
"11/2012","54.44","56.14","52.19","55.74","7,705,798"
"10/2012","55.1","55.83","53.68","54.38","6,807,400"
"09/2012","53.03","56.1125","51.7518","54.82","8,299,788"
"08/2012","52.35","54.45","50.86","53.03","12,147,528"
"07/2012","51.71","53.32","49.51","52.19","9,076,769"
"06/2012","50.4","52.49","48.45","51.79","11,899,273"
"05/2012","55.52","55.712","49.03","51.06","13,324,509"
"04/2012","55.76","56.73","53.81","55.46","9,100,816"
"03/2012","54.38","57.57","52.21","56.04","15,555,500"
"02/2012","51.98","54.79","50.72","53.92","11,218,531"
"01/2012","50.64","54.51","49.7","51.32","10,094,432"
"12/2011","50.5199","50.85","46.36","49.81","12,566,133"
"11/2011","50.95","52.69","45.79","50.37","10,305,102"
"10/2011","49.53","53.94","46.02","52.61","12,193,637"
"09/2011","56.07","56.24","47.58","50.15","16,130,189"
"08/2011","57.64","57.64","49.67","55.81","24,872,371"
"07/2011","59.93","61.02","56.15","56.76","8,279,210"
"06/2011","61.37","61.55","57.5","60.17","8,879,501"
"05/2011","60.75","62.33","58.8","61.33","6,999,843"
"04/2011","61.27","62.16","58.1","61.04","6,632,755"
"03/2011","61.66","62.25","57.28","61.39","12,467,971"
"02/2011","56.98","62.33","56.81","61.85","10,139,775"
"01/2011","57.85","57.9","55.5","56.61","6,875,275"
"12/2010","52.98","57.87","52.66","57.2","9,286,657"
"11/2010","53.66","54.88","50.9","51.95","7,138,129"
"10/2010","53.04","54.85","52.19","53.51","6,636,499"
"09/2010","48.72","53.78","48.64","53.3","9,342,954"
"08/2010","50.64","51.18","46.33","48.18","7,837,650"
"07/2010","45.6","50.7","44.78","50.13","10,018,655"
"06/2010","46.24","51.06","45.38","46.02","14,452,702"
"05/2010","51.36","52.32","44.49","45.66","14,439,399"
"04/2010","50.19","52.62","48.91","50.91","6,667,080"
"03/2010","45.71","51.03","45.66","50.02","8,281,891"
"02/2010","42.17","46.33","41.34","45.43","6,898,294"
"01/2010","47.51","47.62","41.66","42.1","8,787,712"
"12/2009","46.62","47.79","44","46.74","7,052,553"
"11/2009","41.96","47.5","41.54","46.13","10,152,372"
"10/2009","45.7","46.13","40.4","41.78","10,999,610"
"09/2009","41.4","46.11","38.82","45.58","17,733,495"
"08/2009","43.48","44.92","38.87","41.94","12,968,688"
"07/2009","37.89","43.17","33.96","42.71","11,457,154"
"06/2009","35.42","38.46","34.444","37.5","14,578,652"
"05/2009","28.65","35.17","28.35","35.08","18,378,816"
"04/2009","24.23","30.08","23.88","28.46","21,772,557"
"03/2009","21.65","27.11","19.45","24.52","37,948,978"
"02/2009","23.26","25.92","19.24","22.52","22,264,645"
"01/2009","27.11","28.78","21.74","24","15,690,871"
"12/2008","28.7","29.17","23.45","27.2","14,469,745"
"11/2008","32.11","35.34","22.35","27.77","12,330,545"
"10/2008","45.35","46.21","27.77","33.54","15,055,734"
"09/2008","44.53","48.21","40.35","46.04","15,501,754"
"08/2008","48.91","49.22","43.64","46","9,120,430"
"07/2008","45.4","50.25","44.1557","48.73","10,384,320"
"06/2008","49.84","51.59","45.36","45.82","8,030,695"
"05/2008","46.99","50.36","45.94","49.98","5,831,334"
"04/2008","45.77","48.47","43.61","47.65","7,826,124"
"03/2008","48.28","48.34","41.76","45.21","14,578,614"
"02/2008","48.34","50.74","46.74","48.49","5,979,401"
"01/2008","50.73","50.78","42.21","47.99","7,554,859"
"12/2007","53.13","53.23","48.98","50.5","3,784,188"
"11/2007","56.18","57.15","49.28","53.02","4,946,034"
"10/2007","52.77","56.58","50.96","56.22","2,878,600"
"09/2007","49.52","53.05","48.62","52.5","2,526,500"
"08/2007","46.24","49.48","43.44","49.46","5,510,180"
"07/2007","49","50.18","45.84","46.52","3,782,900"
"06/2007","50.34","50.85","47.94","48.83","3,182,000"
"05/2007","48.41","51","47.08","50.39","2,020,650"
"04/2007","46.1","48.8","46.05","48.18","1,539,900"
"03/2007","43.1","47.13","41.91","46.11","2,470,957"
"02/2007","43.27","44.99","43.14","43.46","2,141,575"
"01/2007","44.82","44.89","42.67","43.18","3,304,300"
"12/2006","45.57","46.09","44.25","44.8","3,062,300"
"11/2006","43.8","46.88","43.2","45.48","820,300"
"10/2006","43.05","44.1","41.35","43.91","882,700"
"09/2006","42.87","43.96","41.3","43.07","1,345,100"
"08/2006","40.24","44.58","40","42.85","1,050,100"
"07/2006","39.9","41.7","39.42","40.3","1,268,400"
"06/2006","40.15","41.3","39.37","39.75","2,842,700"
"05/2006","41.78","41.87","36.99","40.25","3,228,700"
"04/2006","40.01","41.9","39.08","41.76","720,200"
"03/2006","42.4","42.4","40.05","40.14","917,100"
"02/2006","40.45","42.78","40.3","41.95","1,063,500"
"01/2006","39.85","40.98","38.95","39.3","948,700"
"12/2005","38.37","40.38","37.87","39.62","1,150,600"
"11/2005","36.28","41.09","36.13","38.39","861,300"
"10/2005","37.38","37.95","35.17","36.38","1,498,500"
"09/2005","34.23","37.74","34.12","37.4","5,375,900"
"08/2005","34.22","35.12","33.71","34.53","3,352,900"
"07/2005","33.4","34.83","32.5","34.15","1,483,200"
"06/2005","31.88","34.01","31.47","33.25","967,600"
"05/2005","31.86","32.41","31","31.78","1,173,100"
"04/2005","32.41","32.47","31.42","31.8","544,800"
"03/2005","32.63","34.09","32.16","32.66","773,000"
"02/2005","31.76","33.21","30.96","32.52","984,300"
"01/2005","33.99","34","31.65","31.89","1,036,600"
"12/2004","31.71","34.54","31.45","33.85","623,600"
"11/2004","32.36","32.9","30.86","31.49","2,928,000"
"10/2004","29.15","32.64","28.99","32.51","682,400"
"09/2004","27.48","29.27","27.42","29.25","519,400"
"08/2004","27.75","28.98","26.57","27.41","329,900"
"07/2004","26.92","27.8","26.51","27.53","272,700"
"06/2004","24.73","27.16","24.7","26.95","319,200"
"05/2004","25.67","25.97","23.75","24.72","373,800"
"04/2004","26.985","28.335","25.165","25.42","884,900"
"03/2004","25.71","27.585","25.28","26.985","1,097,400"
"02/2004","25.425","26.48","25.03","25.59","533,600"
"01/2004","25.44","26.345","25.21","25.4","651,000"
"12/2003","24.675","25.49","23.805","25.32","613,200"
"11/2003","24.82","25.105","24.33","24.73","534,000"
"10/2003","23.45","25.415","23.32","24.845","627,000"
"09/2003","22.155","23.435","22.12","23.325","403,800"
"08/2003","21.635","22.495","20.78","22.185","441,000"
"07/2003","22.625","23.075","21.48","21.56","613,200"
"06/2003","21.385","23.14","21.345","23.14","938,000"
"05/2003","19.485","21.99","19.435","21.415","695,600"
"04/2003","17.625","19.455","17.51","19.41","484,000"
"03/2003","17.79","17.96","16.88","17.585","453,400"
"02/2003","16.67","18.045","16.32","17.865","322,200"
"01/2003","16.82","17.53","16.075","16.69","780,600"
"12/2002","15.775","17.375","15.5","16.75","492,800"
"11/2002","14.655","15.825","14.28","15.785","634,200"
"10/2002","14.005","15.875","13.195","14.75","823,200"
"09/2002","15.015","15.11","13.53","14.08","483,400"
"08/2002","15.445","16.34","14.85","15.08","748,600"
"07/2002","16.705","16.865","14","15.49","504,600"
"06/2002","17.59","17.59","16.085","16.655","861,000"
"05/2002","16.885","17.724","16.785","17.59","102,400"
"04/2002","0","17.17","16.4","16.885","6,600"
"03/2002","14.945","16.562","0","16.45","26,600"
"02/2002","15.305","15.305","0","14.945","58,600"
"01/2002","15.135","15.3455","14.865","15.305","4,600"
"12/2001","15.199","16.1","15.135","15.135","228,400"
"11/2001","14.41","15.5","14.41","15.199","10,600"
"10/2001","0","14.82","14.41","14.41","56,600"
"09/2001","0","15.825","0","14.7","29,800"
"08/2001","14.9065","16.2","0","15.7955","82,800"
"07/2001","14.875","15.33","14.875","14.9065","19,400"
"06/2001","0","15.25","0","14.875","20,800"
"05/2001","0","14.32","12.419","14.32","22,800"
"04/2001","12.966","13.285","12.555","12.555","5,400"
"03/2001","13.805","13.805","0","12.966","50,200"
"02/2001","0","15.2746","0","13.805","9,600"
"01/2001","13.58","14.425","0","15.122","926,600"
"12/2000","13.025","14.13","0","13.58","452,800"
"11/2000","0","14.665","12.45","13.025","17,000"
"10/2000","14.325","14.325","12.915","14.22","3,800"
"09/2000","13.2","14.725","13.01","14.325","23,000"
"08/2000","0","13.2","12.61","13.2","26,000"
"07/2000","12.45","12.775","11.9","12.715","419,000"
"06/2000","12.6","12.825","11.92","12.45","14,800"
"05/2000","11.775","12.6","11.295","12.6","87,400"
"04/2000","10.25","11.775","10.25","11.775","8,800"
"03/2000","9.6","10.25","8.925","10.25","6,600"
"02/2000","0","10.49","9.57","9.6","57,800"
"01/2000","10.9","10.9063","9.44","10.405","91,000"
"12/1999","0","10.9","10.325","10.9","62,000"
"11/1999","11.0625","11.345","10.87","11.285","51,600"
"10/1999","10.295","11.15","10.295","11.0625","20,800"
"09/1999","10.83","10.83","10.295","10.295","1,600"
"08/1999","10.225","11.17","9.765","10.83","6,200"
"07/1999","10.55","11.645","10.225","10.225","9,800"
"06/1999","0","11.0225","10.365","10.55","58,000"
"05/1999","11.9","11.9375","11.225","11.225","16,000"
"04/1999","0","12.35","10.625","11.9","26,000"
"03/1999","11.11","11.11","10.025","10.635","134,800"
"02/1999","10.6875","11.11","10.515","11.11","6,000"
"01/1999","0","11.535","10.125","10.6875","23,800"
"12/1998","11.065","11.255","10.76","10.9688","93,600"
"11/1998","0","11.665","9.95","11.065","463,000"
"10/1998","0","10.46","7.58","10.46","886,200"
"09/1998","0","9.125","8.105","8.5625","20,000"
"08/1998","11.545","11.545","8.4063","8.4063","26,800"
"07/1998","11.76","12.7","11.545","11.545","285,000"
"06/1998","13.35","13.35","11.76","11.76","5,400"
"05/1998","13.99","13.99","13.1875","13.35","5,800"
"04/1998","13.36","15.365","13.155","13.99","1,254,800"
"03/1998","12.5625","13.845","12.245","13.36","8,400"
"02/1998","0","23.18","11.1425","12.5625","670,000"
"01/1998","11.85","11.85","9.9625","11.16","1,040,000"
"12/1997","0","11.9675","11.09","11.85","6,000"
