"Date","Open","High","Low","Close","Volume"
"10/2025","80.06","81.74","78.99","81.23","8,071,336"
"09/2025","74.3","82.08","73.8","79.95","37,497,081"
"08/2025","72.81","78.95","72.67","75.14","42,621,630"
"07/2025","73.38","75.58","72.715","72.88","44,650,404"
"06/2025","69.11","73.52","68.985","73.45","37,486,023"
"05/2025","63.64","69.3","62.79","69.05","34,236,419"
"04/2025","59.89","63.92","54.87","63.78","52,740,462"
"03/2025","60","61.39","57.08","59.94","41,453,645"
"02/2025","54.64","60.855","54.14","59.91","42,710,130"
"01/2025","53.33","58.01","52.96","57.07","56,867,937"
"12/2024","56.5","56.68","51.25","53.24","45,591,631"
"11/2024","55.5","57.335","54.625","56.53","35,211,488"
"10/2024","62.95","64.1393","54.94","55.27","94,182,748"
"09/2024","59.38","64.91","58.955","63.26","40,170,005"
"08/2024","58.87","60.04","54.16","59.92","41,915,340"
"07/2024","55.2","59.51","54.51","59.03","58,790,911"
"06/2024","55.94","56.28","53.52","54.96","44,267,367"
"05/2024","59.08","59.405","54.115","55.92","68,434,139"
"04/2024","60.36","60.55","55.855","59.32","73,177,088"
"03/2024","59.75","61.02","59.01","60.38","49,274,702"
"02/2024","60.6","60.97","57.31","60","58,305,549"
"01/2024","64.04","65.12","58.58","60.73","65,196,485"
"12/2023","60.96","65.08","58.71","64.62","70,222,421"
"11/2023","56.03","62.33","55.51","60.99","49,873,267"
"10/2023","60.19","60.31","54.69","55.84","81,648,942"
"09/2023","61.25","62.55","58.84","60.26","46,933,427"
"08/2023","65.53","65.585","57.88","61.01","48,405,453"
"07/2023","62.23","66.15","60.01","65.94","47,419,542"
"06/2023","56.91","62.295","56.35","62.01","46,138,957"
"05/2023","60.46","63.168","56.29","56.6","51,866,946"
"04/2023","60.63","62.38","58.18","60.63","48,187,393"
"03/2023","66.36","66.71","55.43","59.9","75,435,308"
"02/2023","68.69","70.67","65.76","66.55","26,666,481"
"01/2023","64.87","69.22","63.3","69.22","38,823,460"
"12/2022","67.5","69.04","62.86","64.76","36,288,733"
"11/2022","64.79","68.36","62.3","66.74","28,964,982"
"10/2022","62.27","65.49","57.27","63.99","41,653,025"
"09/2022","64.02","68.69","60.67","61.33","36,270,209"
"08/2022","64.64","69.11","63.65","64.34","39,354,978"
"07/2022","65.17","66.35","58.64","64.97","43,095,368"
"06/2022","76.78","77.15","64.19","65.58","38,960,558"
"05/2022","72.46","76.53","69.39","76.27","70,501,841"
"04/2022","80.04","81.47","70.445","72.24","49,169,908"
"03/2022","80.49","82.64","74.21","79.42","49,504,396"
"02/2022","80.01","86.015","78.14","80.69","45,186,254"
"01/2022","76.93","83.08","76.31","80.03","44,008,511"
"12/2021","72.44","77.2","71.675","76.68","38,527,917"
"11/2021","72.96","75.73","71.72","72.06","40,326,268"
"10/2021","66.63","73.305","66.35","72.51","27,848,151"
"09/2021","65.17","67.23","62.815","66.15","28,604,322"
"08/2021","66.84","69.32","64.93","64.94","29,052,565"
"07/2021","70.41","70.87","63.68","66.45","40,422,376"
"06/2021","72.7","73.21","69.78","70.76","35,841,138"
"05/2021","69.08","73.85","67.66","72.1","34,136,504"
"04/2021","65.19","69.63","64.68","68.75","37,037,071"
"03/2021","61.44","67.23","61.31","65.21","47,919,101"
"02/2021","56.85","63.775","56.48","60.37","32,000,221"
"01/2021","56.77","59.97","56.02","56.59","34,744,444"
"12/2020","54.45","56.98","54.39","56.42","24,234,512"
"11/2020","44.82","55.06","44.13","53.73","32,722,416"
"10/2020","46.49","48.3","42.9","44.23","41,499,022"
"09/2020","49.64","50.17","44.85","46.24","29,774,965"
"08/2020","44.5","51.34","44.16","49.86","26,953,311"
"07/2020","44.8","46.48","42.9","44.28","33,013,946"
"06/2020","43.11","49.51","43.07","44.61","45,143,362"
"05/2020","40.79","45.87","37.62","42.8","53,125,247"
"04/2020","40.44","44.28","38.22","41.77","57,196,421"
"03/2020","51.48","52.51","33.74","42.39","83,785,521"
"02/2020","55.22","57.5","50.38","51.61","26,058,221"
"01/2020","56.26","56.96","55.045","55.26","23,428,596"
"12/2019","57.7","57.79","54.73","56.13","23,421,846"
"11/2019","57.22","58.4","57.07","57.8","20,829,506"
"10/2019","57.81","58.09","54.0896","57.07","28,285,350"
"09/2019","53.82","58.51","53.44","58.26","25,822,036"
"08/2019","58.29","58.56","53.5477","54.19","28,548,491"
"07/2019","58.84","59.55","57.93","58.44","23,923,289"
